game_date,home_team,away_team,winner,predicted_winner,confidence_0,confidence_1
2019-12-17,Vancouver Canucks,Montreal Canadiens,0,1,0.49229067678441,0.5077093232155899
2019-12-17,Vegas Golden Knights,Minnesota Wild,1,1,0.4292936655114876,0.5707063344885124
2019-12-17,San Jose Sharks,Arizona Coyotes,0,1,0.49826643510140767,0.5017335648985924
2019-12-18,New Jersey Devils,Anaheim Ducks,1,1,0.4887903180307058,0.5112096819692942
2019-12-18,Chicago Blackhawks,Colorado Avalanche,0,0,0.5792788121163609,0.4207211878836385
2019-12-18,St Louis Blues,Edmonton Oilers,1,1,0.4102789081973563,0.5897210918026434
2019-12-19,Boston Bruins,New York Islanders,0,1,0.4241143195452381,0.575885680454762
2019-12-19,Tampa Bay Lightning,Dallas Stars,0,1,0.44151698258529865,0.5584830174147012
2019-12-19,Philadelphia Flyers,Buffalo Sabres,1,1,0.42232633629209315,0.577673663707907
2019-12-19,Columbus Blue Jackets,Los Angeles Kings,1,1,0.4674968141498698,0.5325031858501302
2019-12-19,Ottawa Senators,Nashville Predators,1,0,0.5424001689430511,0.45759983105694896
2019-12-19,Winnipeg Jets,Chicago Blackhawks,0,1,0.35719969734552603,0.6428003026544739
2019-12-19,Colorado Avalanche,Carolina Hurricanes,0,1,0.49238304299838187,0.5076169570016182
2019-12-19,Calgary Flames,Montreal Canadiens,0,0,0.5049353574565123,0.4950646425434877
2019-12-19,Arizona Coyotes,Minnesota Wild,0,1,0.4526552156956688,0.5473447843043311
2019-12-19,Vancouver Canucks,Vegas Golden Knights,1,1,0.4983143324709017,0.5016856675290984
2019-12-20,Florida Panthers,Dallas Stars,1,1,0.4470880789508287,0.5529119210491712
2019-12-20,New Jersey Devils,Washington Capitals,0,0,0.5700994904182599,0.4299005095817398
2019-12-20,New York Rangers,Toronto Maple Leafs,0,0,0.5070299875648111,0.49297001243518884
2019-12-20,Edmonton Oilers,Pittsburgh Penguins,0,0,0.5270828841735388,0.4729171158264612
2019-12-21,Buffalo Sabres,Los Angeles Kings,1,1,0.47454778696648253,0.5254522130335174
2019-12-21,New York Islanders,Anaheim Ducks,0,1,0.43623989741485447,0.5637601025851453
2019-12-21,Minnesota Wild,Winnipeg Jets,0,1,0.45587168093349567,0.544128319066504
2019-12-21,Boston Bruins,Nashville Predators,0,1,0.4577200745997054,0.5422799254002947
2019-12-21,Toronto Maple Leafs,Detroit Red Wings,1,1,0.26863208012691997,0.73136791987308
2019-12-21,Ottawa Senators,Philadelphia Flyers,0,0,0.5205560366273481,0.47944396337265194
2019-12-21,Washington Capitals,Tampa Bay Lightning,1,1,0.43617818240174844,0.5638218175982517
2019-12-21,Carolina Hurricanes,Florida Panthers,0,1,0.38911716182855444,0.6108828381714454
2019-12-21,Columbus Blue Jackets,New Jersey Devils,1,1,0.3894827421575274,0.6105172578424727
2019-12-21,Edmonton Oilers,Montreal Canadiens,1,0,0.5066977438215217,0.49330225617847834
2019-12-21,Colorado Avalanche,Chicago Blackhawks,0,1,0.30061926018112484,0.6993807398188754
2019-12-21,Vancouver Canucks,Pittsburgh Penguins,1,0,0.5597887083415144,0.44021129165848544
2019-12-21,San Jose Sharks,St Louis Blues,0,0,0.5061469114116741,0.49385308858832583
2019-12-22,New York Rangers,Anaheim Ducks,1,1,0.4971028904416749,0.5028971095583251
2019-12-22,Detroit Red Wings,Arizona Coyotes,0,0,0.5408581483873826,0.4591418516126173
2019-12-22,Dallas Stars,Calgary Flames,0,1,0.40993852474151166,0.5900614752584884
2019-12-22,San Jose Sharks,Vegas Golden Knights,0,0,0.5460996823560825,0.45390031764391736
2019-12-23,Toronto Maple Leafs,Carolina Hurricanes,1,0,0.5147618038329469,0.4852381961670533
2019-12-23,Minnesota Wild,Calgary Flames,1,1,0.44392009449110026,0.5560799055088999
2019-12-23,Boston Bruins,Washington Capitals,1,1,0.49187374558010355,0.5081262544198965
2019-12-23,Tampa Bay Lightning,Florida Panthers,1,1,0.4339666768971963,0.566033323102804
2019-12-23,New York Islanders,Columbus Blue Jackets,0,1,0.46631154087891397,0.5336884591210862
2019-12-23,Philadelphia Flyers,New York Rangers,1,1,0.34202075560516826,0.6579792443948317
2019-12-23,Ottawa Senators,Buffalo Sabres,1,1,0.48125685155196923,0.5187431484480307
2019-12-23,Nashville Predators,Arizona Coyotes,1,1,0.41358927840039494,0.586410721599605
2019-12-23,Winnipeg Jets,Montreal Canadiens,0,1,0.49101637877683507,0.5089836212231649
2019-12-23,Chicago Blackhawks,New Jersey Devils,0,1,0.4472766688511877,0.5527233311488121
2019-12-23,Vancouver Canucks,Edmonton Oilers,1,1,0.43508116886758325,0.5649188311324164
